protein_id,total_abundance,peptide_count_sum,mean_abundance,peptide_count
P04406,94.0,17,5.53,17
P62805,80.0,12,6.67,12
P11021,74.0,33,2.24,33
P06733,60.0,18,3.33,18
P11142,59.0,21,2.81,21
P60709,58.0,19,3.05,19
P08670,48.0,25,1.92,25
P05787,43.0,22,1.95,22
P08238,43.0,18,2.39,18
P0DMV9,43.0,22,1.95,22
P13639,41.0,23,1.78,23
A5A3E0,40.0,6,6.67,6
O60814,40.0,7,5.71,7
P14625,39.0,21,1.86,21
P21333,38.0,29,1.31,29
P07900,37.0,21,1.76,21
P38646,34.0,21,1.62,21
Q15149,33.0,29,1.14,29
P29401,32.0,16,2.0,16
P14618,30.0,17,1.76,17
P68363,29.0,11,2.64,11
P27797,27.0,12,2.25,12
P22626,27.0,11,2.45,11
P06576,25.0,14,1.79,14
A6NMY6,24.0,14,1.71,14
P62736,24.0,2,12.0,2
P05783,24.0,10,2.4,10
P04350,24.0,9,2.67,9
O43707,24.0,17,1.41,17
P49327,22.0,20,1.1,20
P07437,22.0,7,3.14,7
P80723,22.0,10,2.2,10
P30101,22.0,14,1.57,14
P27348,21.0,6,3.5,6
P02545,21.0,18,1.17,18
P60174,20.0,10,2.0,10
C4XFA6,20.0,1,20.0,1
P08195,19.0,13,1.46,13
P30041,19.0,4,4.75,4
P46777,19.0,11,1.73,11
P00338,18.0,10,1.8,10
P07195,18.0,11,1.64,11
P46940,18.0,8,2.25,8
P52272,17.0,10,1.7,10
P00558,17.0,10,1.7,10
P07737,17.0,8,2.12,8
Q09666,16.0,15,1.07,15
P31327,16.0,16,1.0,16
P10809,15.0,9,1.67,9
P18124,15.0,9,1.67,9
